,Return_3d,Return_7d,Return_15d,Return_30d,Return_3m,Return_6m,Return_1y,Return_3y,Return_5y,Prob_3d,Prob_7d,Prob_15d,Prob_30d,Prob_3m,CVaR_Risk,Sector,ESG_Score
ADANIENT.NS,-0.006318460829031815,-0.006302347300079298,0.015879052647998472,0.09078625571598381,0.24934299620594366,0.18031551202430474,0.14446222760988336,0.18760503339430257,0.529979482876492,0.36264476,0.38197124,0.49989393,0.70240337,0.6205801,0.07199457896775345,Energy,67.1
ADANIPORTS.NS,0.0018796621330254629,0.004115634161351744,0.011568892792337613,0.01985120653112983,0.01670157011709457,0.4190081674068771,0.3074713242785364,0.3844035869982058,0.32864774622288395,0.5047935,0.5008951,0.5249625,0.515867,0.37434497,0.05673997772928157,Industrials,87.4
APOLLOHOSP.NS,0.0006268976399479466,0.0052200965850026475,0.005979919591706691,0.010054903622148552,-0.026596341708203415,0.1139191497419576,0.1779925685119853,0.22951066958322477,0.3281391866605952,0.4840063,0.5250878,0.5041529,0.4989045,0.19638576,0.041497885703942486,Healthcare,75.0
ASIANPAINT.NS,0.0007980261917965737,-0.0005303500268213565,0.005909519194853385,0.01095633222084217,0.030063296149310012,0.04530099144869881,0.16726496491454512,0.004719918300653954,0.10126721536653965,0.5079913,0.48982295,0.54241157,0.52883756,0.56619513,0.03726353201920868,Basic Materials,74.6
AXISBANK.NS,0.002220076030915001,0.002659449736062868,-0.0006008292681408435,0.03257775465886631,-0.03710702112843152,0.09023718853765095,0.09760669861943783,0.15043509756881074,0.14331802499641624,0.5351216,0.5226043,0.5011312,0.6827669,0.26892343,0.04959660649988443,Financial Services,75.8
BAJAJ-AUTO.NS,0.0014854297837625721,0.004252450856017708,0.005518688166984517,0.008016534174266406,-0.08308987676037943,0.3546506102727167,0.3353109079182981,0.3415564476349679,0.2540385254716779,0.50960296,0.5223661,0.50568414,0.4881231,0.0640198,0.03665941005881024,Consumer Cyclical,83.0
BAJAJFINSV.NS,0.0005755108977523321,0.001669714816235783,0.009493015625187617,0.01787545638534585,0.06739367022114719,-0.3575513477150296,-0.12294822495145252,0.11417072752847297,0.1558985721200118,0.4906801,0.4944449,0.5179371,0.52316815,0.58259374,0.046671876767418234,Financial Services,73.5
BAJFINANCE.NS,-0.00016830029831369636,0.0023663606645597628,0.009587084379266586,-0.0040906401213000945,0.06485518885816703,-0.2948844554368224,0.062240360023555374,0.1788507086926044,0.19089683626358372,0.48438686,0.4887842,0.53111017,0.42005324,0.56671876,0.055039264758335656,Financial Services,81.5
BHARTIARTL.NS,0.002184329823085116,0.0022180405076703824,0.0027409641884056403,0.005735454705405131,0.054645667671304465,-0.20553442947616474,-0.020495296578560196,0.3075309296516024,0.26305701931529996,0.5082067,0.48611304,0.48136404,0.46599483,0.5736913,0.03686502231101885,Communication Services,80.5
BRITANNIA.NS,3.106865053683662e-05,0.0006489451629024551,0.0038857575634454293,0.0017572855846975724,-0.0026084654942742716,-0.26490982436872357,0.02362393054335976,0.10373472366840257,0.13557845192006332,0.47735158,0.473255,0.48926672,0.45167202,0.369219,0.031921658647054006,Consumer Defensive,74.0
CIPLA.NS,0.0033872183425151855,0.006544919447743026,0.011347193772357496,0.030667670520083023,0.06596149161145223,-0.23185467048084152,-0.08357745663277527,0.1633164315083457,0.20640149054649853,0.5434114,0.5487311,0.5354975,0.6104427,0.64903986,0.0332151031894475,Healthcare,71.6
COALINDIA.NS,0.0020281618937258005,0.002830585553531738,0.0033725155484354147,-0.011957951151946703,-0.08041227175004081,0.47566654056216673,0.2729683983883081,0.33823010064720216,0.2680519881121275,0.50272614,0.48109525,0.4537328,0.32845566,0.07910791,0.04219286492115502,Energy,54.5
DIVISLAB.NS,-5.870024399666843e-05,-5.3167799259647847e-05,0.008972072133678344,0.014999540364677665,0.07139340404787765,0.06378867517121356,0.16106868213469305,0.2877045635505141,0.2579100518149379,0.4842895,0.4853711,0.529636,0.49033728,0.5738327,0.03961127279300234,Healthcare,67.2
DRREDDY.NS,-0.004962257913251865,-0.01181011607353492,-0.015598722970451664,0.00010069249048460377,-0.001222031290691282,0.1290021470623055,0.12956639920839907,0.1178344288683435,0.16297075872992817,0.34350714,0.27761817,0.2631526,0.41274446,0.35928643,0.0332077662729947,Healthcare,73.4
EICHERMOT.NS,0.0003375564811104702,0.0033115608308199353,0.009889366387924706,0.008960603895999807,0.10529365184861318,0.07133550290970136,0.30465048526582594,0.29834003684755317,0.23756449202963445,0.4917521,0.5110596,0.5311281,0.49430692,0.7250015,0.04107495732618062,Consumer Cyclical,86.7
GRASIM.NS,-0.001641768230756329,0.0025839216016131338,0.00137240201008541,-0.010960472585550732,0.019455479449840864,0.18227439366021359,0.11519499614183093,0.21564788810893665,0.2685490002026702,0.4375319,0.5060715,0.4813395,0.39605254,0.3920101,0.04021385371995478,Basic Materials,56.9
HCLTECH.NS,0.00013606059850583378,0.0033923463912515772,0.008232656612937973,0.011894245653337118,0.11327190753351174,-0.4633998689294687,-0.24852738361981544,0.10679663975712968,0.1873496023789674,0.5148084,0.54656476,0.55879503,0.5331613,0.7260586,0.040067897691014445,Technology,87.1
HDFCBANK.NS,5.460919745328523e-05,-0.0001577092676481786,-0.0015353488357586244,0.002490631250218832,0.03144665040854437,-0.5131159987641067,-0.22011495037658713,-0.003976237322564062,0.0674195987714543,0.48660603,0.49736974,0.46913666,0.5131366,0.5666382,0.03755662943029096,Financial Services,69.4
HDFCLIFE.NS,0.0003119971733736779,0.006978080707466576,0.0033727666002163724,0.010855474484367963,0.05461642708975298,-0.40653070774809863,-0.15657275042774876,0.0730027372848067,0.03996757798405204,0.48787475,0.58090454,0.50848264,0.549019,0.65155834,0.04082038115050254,Financial Services,79.2
HEROMOTOCO.NS,0.0013024652671092003,-0.0026571383934964367,0.0037473691563204847,0.009938235204918204,-0.060308221951627876,-0.035586120625120454,0.34530483350663377,0.30472169701773794,0.19491738514761756,0.5011786,0.41769686,0.48224393,0.48096627,0.11706625,0.04056698386846439,Consumer Cyclical,87.8
HINDALCO.NS,0.00011840875983389239,-0.0034625894515426907,-0.002581282069501603,-0.0072611024899046014,0.03659453060612275,0.6582860323439572,0.5909282436868105,0.3535136427716889,0.34042200994177835,0.49051467,0.46080172,0.47623998,0.45406026,0.4851512,0.055943741516469254,Basic Materials,68.4
HINDUNILVR.NS,0.001472841924641496,0.0035228530512430595,0.003270784141061519,0.020266016589568062,0.018722539418572014,-0.10076306652898248,0.0005688577740260436,0.0050910162534677506,0.06816459804746564,0.51692533,0.5220414,0.48722672,0.6445692,0.5506435,0.03138778723744512,Consumer Defensive,76.6
ICICIBANK.NS,2.6458893509481718e-05,-0.002195895810371771,0.008131194850441843,0.0007805876458882796,0.07195848606401475,-0.14383673392380958,-0.12502738839688998,0.13300103536784486,0.1823732925316176,0.47789088,0.43001038,0.5415848,0.43595883,0.6700355,0.04343370255709389,Financial Services,76.0
INDUSINDBK.NS,-0.007109859428548743,-0.002234813821956741,0.0031484020556349496,0.0066747337335017615,0.04977179241604822,0.27706272816656674,0.11654972187409507,-0.010871755400811348,0.03750620834825833,0.40033895,0.50868607,0.5272372,0.55238277,0.54460865,0.06878005548684708,Financial Services,69.9
INFY.NS,0.0005132072086873191,0.004443421147252035,0.004807723446014881,0.011171842311586938,0.11061645219318453,-0.5065946953068166,-0.23314119937940847,0.030095148481796914,0.12991720001153134,0.5182993,0.5675147,0.5479877,0.56206536,0.7503188,0.039769958751335814,Technology,86.9
ITC.NS,0.002980325146643547,0.005714894207777918,0.0020268238290659275,0.017692138294800843,0.09291693974176424,-0.4965953337694544,-0.2887731995353007,-0.024532046849651528,0.12052383270981216,0.53591835,0.55693394,0.47911227,0.58728445,0.74886376,0.03437820840771593,Consumer Defensive,72.0
